ano;Total;0-04;05-09;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85 ou mais
2009;5064992 ;265332 ;283881 ;283236 ;294069 ;303891 ;350578 ;401918 ;395612 ;379680 ;372928 ;341816 ;316911 ;281240 ;235512 ;217276 ;171678 ;104713 ;64727 
2010;5058644 ;258770 ;277435 ;286292 ;291189 ;296721 ;336682 ;389952 ;401765 ;379289 ;376922 ;347303 ;319520 ;287695 ;239769 ;216961 ;175607 ;107627 ;69149 
2011;5041990 ;252635 ;270928 ;287111 ;287422 ;293347 ;322254 ;374341 ;404774 ;380008 ;376943 ;352716 ;321002 ;294244 ;245454 ;214097 ;178698 ;112355 ;73665 
2012;5013067 ;247999 ;265798 ;285322 ;283385 ;290198 ;308816 ;357077 ;403299 ;381221 ;374350 ;356183 ;322359 ;301068 ;250419 ;211475 ;180019 ;117546 ;76538 
2013;4976859 ;241232 ;261549 ;283658 ;280574 ;286012 ;296604 ;342164 ;396906 ;381615 ;370605 ;357876 ;325304 ;303334 ;256732 ;210896 ;180861 ;122062 ;78880 
2014;4940843 ;233466 ;257854 ;280075 ;280942 ;281553 ;287241 ;330524 ;385466 ;381989 ;365752 ;359397 ;327918 ;302763 ;263972 ;212097 ;182177 ;126244 ;81419 
2015;4912588 ;227034 ;254053 ;274665 ;284059 ;277209 ;280628 ;318390 ;372288 ;384556 ;362109 ;360166 ;331138 ;303636 ;269741 ;215950 ;182232 ;130075 ;84663 
2016;4891983 ;221770 ;251326 ;270109 ;285539 ;274167 ;277458 ;305934 ;358175 ;387084 ;361958 ;359278 ;335611 ;304206 ;275790 ;221161 ;180313 ;132989 ;89119 
2017;4875074 ;218791 ;248518 ;265963 ;284665 ;272606 ;275621 ;294950 ;344089 ;387761 ;364292 ;357480 ;339136 ;305603 ;282285 ;226300 ;178764 ;134648 ;93606 
2018;4860029 ;218939 ;242466 ;262141 ;283316 ;272496 ;273705 ;286021 ;333038 ;384726 ;367147 ;355174 ;341449 ;309077 ;284771 ;232841 ;178904 ;135939 ;97883 
