gdh;preco2013
1;9120,74
2;6733,93
6;453,88
7;4907,67
8;1150,63
9;5053,45
10;5488,13
11;3970,56
12;2843,62
13;3190,85
14;4852,95
15;3963,98
16;4135,79
17;2471,2
18;3415,98
19;1802,14
21;1458,52
22;3035,73
23;2074,44
34;3711,41
35;2606,23
36;765,2
37;1692,59
38;733,27
39;427,53
40;2475,46
41;991,68
42;1102,37
43;2038,58
44;1330,68
45;4688,77
46;2845,54
47;1923,88
48;949,72
49;2546,16
50;839,11
51;634,63
52;645,29
53;1525,2
54;1331,05
55;852,76
56;613,13
57;643,81
58;481,45
59;622,19
60;400,3
61;859,57
62;373,48
63;1583,25
64;2355,27
65;2261,8
66;913,04
67;1565,95
68;1453,98
69;970,46
70;563,68
71;596,41
72;2572,44
73;1326,48
74;706,95
75;3086,41
76;5048,48
77;1824,84
78;2829,39
79;2927,13
80;1850
82;3090,72
83;2359,48
84;1708,42
85;2987,76
86;2022,43
87;2305,6
88;1621,92
89;1957,8
90;1371,55
92;2574,56
93;1744,34
94;2518,01
95;1329,81
96;1486,93
97;1024,94
99;2179,08
100;1344,89
101;2237,71
102;1504,63
103;64275,9
104;11737,72
105;6162,2
106;13696,05
107;8127,65
108;4804,12
109;4464,37
110;5632,83
111;3619,69
112;8737,91
113;4693,48
114;3796,63
115;6834,31
116;4944,08
117;3602,4
118;2760,52
119;862,81
120;4476,86
121;3813,78
122;2402,55
123;3185,44
124;3728,36
125;2698,77
126;10306,71
127;1889,52
128;1520,99
129;1303,73
130;2356,7
131;1274,38
132;1909,65
133;1250,46
134;1619,96
135;2519,71
136;1456,15
137;791,58
138;1679,31
139;1080,47
140;1440,83
141;2154,81
142;1671,41
143;1297,3
144;2416,73
145;1537,56
146;3511,08
147;2050,54
148;3736,35
149;1847,06
150;2940,56
151;1570,45
152;2117,26
153;1330,06
154;4531
155;1909
156;1335,67
157;1261,24
158;597,51
159;1405,49
160;749,59
161;993,11
162;639,57
163;401,96
164;2375,83
165;1256,86
166;1440,49
167;884,34
168;1619,98
169;783,71
170;3984,7
171;1704,17
172;2827,42
173;1515,54
174;1782,54
175;1137,44
176;1647,56
177;1862,63
178;1367,9
179;1663,83
180;1581,81
181;1118,14
182;1809,9
183;1290,91
185;1646,78
186;767,92
187;1161,36
188;1582,24
189;972,89
191;6054,8
192;3423,23
193;5805,03
194;3124,94
195;5034,38
196;3024,55
197;2675,17
198;1317,22
199;3240,34
200;3302,99
201;4578,28
202;1985,9
203;3095,31
204;1786,45
205;2478,24
206;1592,29
207;2646,5
208;1709,21
209;2104,41
210;3773,04
211;2499,55
212;1675,81
213;4398,11
216;4302,41
217;6235,21
218;3359,79
219;1355,37
220;826,79
221;1739,02
222;683,79
223;1524,97
224;726,26
225;1159,21
226;2261,9
227;719,97
228;1361,97
229;434,1
230;1040,34
232;706,72
233;4189,26
234;1651,56
235;2168,15
236;2743
237;2348,73
238;4050,83
239;4177,84
240;2979,89
241;1590,99
242;2258,73
243;2459,82
244;1797,24
245;946,52
246;1611,09
247;1810,6
248;1427,45
249;1469,1
250;2265,21
251;1171,63
252;595,9
253;2257,68
254;1199,93
255;916,69
256;1853,99
257;1588,5
258;1344,19
259;1468,58
260;943,69
261;1176,2
262;488,69
263;4624,78
264;1989,42
265;2666,09
266;1267,67
267;434,73
268;1310,17
269;2160,04
270;730,96
271;2799,25
272;2501,42
273;1486,62
274;3184,65
275;1323,16
276;628,45
277;1752
278;1114,42
279;600,53
280;2393,19
281;1809,25
282;1416,36
283;1550,99
284;736,06
285;6437,06
286;5024,7
287;2393,68
288;938,38
289;962,63
290;612,89
291;392,14
292;4037,64
293;1408,14
294;1397,96
295;1198,75
296;1465,94
297;1031,34
298;389,91
299;1390,78
300;2905,14
301;1189,52
302;9390,4
303;2040,34
304;2973,53
305;1394,52
306;1927,66
307;823,46
308;1684,88
309;690,43
310;1544,95
311;855,79
312;936,46
313;560,96
314;1002,54
315;2003,11
316;1883,27
317;386,28
318;3119,3
319;1612,1
320;1766,46
321;1242,76
322;689,61
323;920,99
324;841,12
325;1339,41
326;935,51
327;804,06
328;1219,73
329;505,02
330;1089,77
331;2169,6
332;1297,96
333;1263,81
334;1748,16
335;1291,2
336;955,22
337;696,94
338;1922,84
339;922,66
340;429,01
341;907,77
344;1979,38
345;1747,36
346;2575,43
347;762,31
348;1208,16
349;768,61
350;734,99
351;446,11
352;879,12
353;2638,06
354;2214,53
355;1201,37
356;454,58
357;2408,92
358;905,35
359;642,94
