gdh;preco2013
360;603,51
361;544,23
362;274,93
363;1493,65
364;703,78
365;1605,66
366;2872,78
367;1100,56
368;1206,78
369;715,55
370;669,5
371;472,45
372;363,36
373;292,46
374;536,89
375;390
376;990,73
377;1254,3
378;578,69
379;487,18
380;249,63
381;337,78
382;208,33
392;2309,68
393;1447,12
394;2033,86
395;1265,14
397;1316,77
398;1908,4
399;1219,41
401;6085,03
402;1823,87
403;4187,51
404;2472,08
406;4449,97
407;2267,23
408;2754,69
409;3140,84
410;914,39
413;3622,28
414;2301,03
417;1129,97
418;1698,59
419;1923,97
420;1277,22
421;1464,83
422;492,54
423;1852,18
424;2882,82
425;2200,19
426;1663,17
427;1485,8
428;1888,72
429;3295,25
430;3100,89
431;1788,75
432;2050,15
439;2880,85
440;2604,2
441;753,66
442;3138,58
443;1143,75
444;2352,2
445;1599,44
446;1231,55
447;680,98
448;376,24
449;1534,99
450;978,79
451;747,87
452;1686,66
453;1029,78
454;2475,21
455;1591,75
461;2186,87
462;6108,64
463;2181,97
464;1298,43
465;1326,53
466;1098,99
467;1208,48
468;6058,25
471;4493,07
476;3467,68
477;3190,68
478;3962,82
479;2096,33
480;41377,4
482;10223,52
491;1486,36
493;2276,56
494;944,59
530;25404,66
531;12546,51
532;4007,2
533;7292,94
534;5283,77
535;3694,09
536;5541,7
538;9519,01
539;11128,35
540;4945,81
541;3066,37
543;3562,25
544;3624,13
545;19604,69
546;11518,92
547;16837,85
548;9850,58
549;16920,66
550;8984,39
551;2583,29
552;4270,42
553;7585,94
554;3835,45
555;17004,26
556;7217,27
557;4730,35
558;10268,72
559;8791,57
560;4363,99
561;7145,19
562;4621,79
563;2942,61
564;7010,64
565;5935,5
566;2810,91
567;8781,49
568;4429,54
569;2593,39
570;2539,42
571;5245,52
572;4091,81
573;4097,02
574;3458,27
575;9528,8
576;21215,06
577;5816,24
578;8408,24
579;18121,04
580;4207,15
581;13989,83
582;3489,14
583;10476,22
584;5736,96
585;12121,3
586;3410,76
587;2022,63
588;1876,69
589;1375,85
602;165270,1
603;9650,61
604;94470,5
605;11062,83
606;97670,61
607;27048,98
608;11858,51
609;81100,61
610;22893,03
611;12904,81
612;5826,58
613;3748,24
614;2076,82
615;42196,4
616;3561,06
617;4639,46
618;1780,32
619;960,45
620;340,47
621;772,32
622;24995
623;2306,14
624;584,76
626;2691,81
627;778,95
628;483,75
629;254,94
630;433,11
631;1826,21
633;5146,54
634;2352,96
635;3321,63
636;6755,04
637;117,61
638;166,8
639;295,71
640;482,56
641;74088,26
650;1318,29
651;682,85
652;667,09
700;87914,01
701;31490,47
702;32593,98
703;13269,45
704;5365,74
705;15362,8
706;14380,16
707;13522,24
708;3466,14
709;7005,05
710;5843,94
711;4482,58
712;4969,97
713;1493,4
714;2610,28
715;1437,18
716;2801,53
730;15013,93
731;11745,2
732;9098,57
733;5781,59
734;4311,88
737;2016,63
738;6728,39
739;4542,47
740;3010,73
743;520,08
744;1216,78
745;1046,7
746;701,55
747;2311,96
748;1743,94
749;757,47
750;1987,08
751;1476,53
752;1382,68
753;6630,33
754;5211,15
755;3061,26
756;2226,39
757;1575,55
758;714,83
759;2478,74
760;1553,96
761;4299,18
762;1363,31
763;1771,09
764;3138,22
765;2115,45
766;4029,28
767;2684,83
768;1698,02
769;1341,08
770;2648,64
771;1364,02
772;904,28
773;602,4
774;919,01
775;564,09
776;742,31
777;502,58
778;812,92
779;534,03
780;11295,39
781;4231,1
782;6890,72
783;5172,09
784;950,66
785;893,45
786;5364,18
787;3386,59
789;3248,45
790;1737,42
791;2435,42
792;33266,93
793;27896,48
794;12710,43
795;86892,77
796;4597,42
797;2390,61
798;5904,34
799;2436,39
800;7394,07
801;4771,99
802;4128,03
803;43889,96
804;17760,01
805;15562,2
806;6404,86
807;3814,53
808;5849,94
809;8188,59
810;5210,99
811;11530,68
812;1705,44
813;1477,07
814;1067,75
815;613,13
816;400,41
817;3929,33
818;2533,52
819;1143,63
820;1409,8
821;71340,37
822;17753,82
823;16981,89
824;6673,09
825;4612,27
826;2716,74
827;5833,64
828;2035,67
829;8167,81
832;3215,79
833;24169
836;6241,34
837;2385,47
838;2124,12
839;1428,33
849;15395,72
850;13289,54
851;7268,85
852;4074,45
853;5672,95
854;4303,12
864;2357,76
865;1202,29
866;2254,3
867;776,16
874;3691,8
875;1828,17
876;1479,82
877;134853,13
878;70004,02
879;13725,28
880;7606,14
881;18741,04
882;6420,1
883;1172,54
884;5234,12
885;753,5
886;607,96
887;5439,72
888;5592,87
889;2391,75
890;1788,57
891;2693,85
892;2705,41
893;2384,45
894;1513,16
895;1706,82
896;4735,73
897;2260,35
898;5225,17
899;3023,62
900;8736,47
901;2749,61
